Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,13.1731000000,µg/m3,2020-01-01 00:00:00 +01:00,2020-01-01 01:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,17.0340608000,µg/m3,2020-01-01 01:00:00 +01:00,2020-01-01 02:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,29.4950900000,µg/m3,2020-01-01 02:00:00 +01:00,2020-01-01 03:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,22.3790325000,µg/m3,2020-01-01 03:00:00 +01:00,2020-01-01 04:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,30.2070600000,µg/m3,2020-01-01 04:00:00 +01:00,2020-01-01 05:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,33.6208900000,µg/m3,2020-01-01 05:00:00 +01:00,2020-01-01 06:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,31.7066900000,µg/m3,2020-01-01 06:00:00 +01:00,2020-01-01 07:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,39.8160025000,µg/m3,2020-01-01 07:00:00 +01:00,2020-01-01 08:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,21.3038425000,µg/m3,2020-01-01 08:00:00 +01:00,2020-01-01 09:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0030A,HU0030A,SPO-HU0030A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0030A_00008_100_103,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.1007875000,µg/m3,2020-01-01 09:00:00 +01:00,2020-01-01 10:00:00 +01:00,1,3
