EOICode,country_raw,iso
HU0037A,Veszprem,HU-VE
HU0022A,Budapest,HU-BU
HU0056A,Budapest,HU-BU
HU0042A,Budapest,HU-BU
HU0041A,Budapest,HU-BU
HU0045A,Budapest,HU-BU
HU0036A,Pest,HU-PE
HU0023A,Hajdu-Bihar,HU-HB
HU0033A,Fejer,HU-FE
HU0039A,Komarom-Esztergom,HU-KE
HU0024A,Gyor-Moson-Sopron,HU-GS
HU0025A,Gyor-Moson-Sopron,HU-GS
HU0044A,Borsod-Abauj-Zemplen,HU-BZ
HU0026A,Borsod-Abauj-Zemplen,HU-BZ
HU0046A,Bacs-Kiskun,HU-BK
HU0027A,Borsod-Abauj-Zemplen,HU-BZ
HU0028A,Szabolcs-Szatmar-Bereg,HU-SZ
HU0029A,Baranya,HU-BA
HU0030A,Baranya,HU-BA
HU0038A,Borsod-Abauj-Zemplen,HU-BZ
HU0040A,Gyor-Moson-Sopron,HU-GS
HU0035A,Gyor-Moson-Sopron,HU-GS
HU0032A,Pest,HU-PE
HU0057A,Csongrad,HU-CS
HU0031A,Komarom-Esztergom,HU-KE
HU0034A,Veszprem,HU-VE
HU0002R,Bacs-Kiskun,HU-BK
