StationName,EOICode,Address,WGS84Longti,WGS84Lat,
Ajka ,HU0037A,Bródy Imre utca 4. szám ,47.10332,17.56133,
Budapest Gilice,HU0022A,"XVIII. kerület, Gilice tér 39. szám ",47.42985,19.181226,
Budapest Honvéd,HU0056A,"XIII. kerület, Dózsa György út 53. szám ",47.522908,19.069598,
Budapest Kõrakás,HU0042A,"XV. kerület, Kõrakás park ",47.544471,19.144008,
Budapest Széna,HU0041A,"I. kerület, Széna tér ",47.508686,19.027954,
Budapest Teleki,HU0045A,"VIII. kerület, Teleki László tér ",47.492097,19.087712,
"Budapest, Pesthidegkút",HU0036A,"II. kerület, Községház utca 10. szám ",47.561774,18.960824,
Debrecen Kalotaszeg,HU0023A,Kalotaszeg tér ,47.513384,21.624621,
Dunaújváros ,HU0033A,Köztársaság út 14. szám ,46.96537,18.9352,
Esztergom,HU0039A,Petõfi Sándor utca 26-28. szám ,47.790054,18.746946,
Gyõr 1 Szent István,HU0024A,Szent István út ,47.685272,17.639637,
Gyõr 2 Ifjúság ,HU0025A,Szigethy Attila út - Ifjúság körút sarok ,47.677134,17.658104,
Hernádszurdok ,HU0044A,Gátõrház 3. ,48.473839,21.211797,
Kazincbarcika ,HU0026A,Lini István tér 1. szám,48.246911,20.614433,
Kecskemét,HU0046A,Tóth László sétány ,46.902284,19.688815,
Miskolc Búza tér,HU0027A,Búza tér ,48.106864,20.789717,
Nyíregyháza ,HU0028A,Széna tér ,47.960875,21.705767,
Pécs Boszorkány,HU0029A,Boszorkány út 2. szám,46.08031,18.21117,
Pécs Szabadság,HU0030A,Szabadság utca 7. szám ,46.071316,18.225124,
Sajószentpéter ,HU0038A,Sport utca 13. szám ,48.218522,20.70285,
Sarród,HU0040A,Lászlómajor ,47.671511,16.839574,
Sopron,HU0035A,Kodály Zoltán tér ,47.691299,16.57548,
Százhalombatta 1 Búzavirág,HU0032A,Búzavirág tér ,47.309133,18.920638,
Szeged 2,HU0057A,Rózsa utca ,46.266707,20.153211,
Tatabánya Ságvári,HU0031A,Szent Borbála út 5. szám (Ságvári),47.56327,18.408729,
Veszprém ,HU0034A,Kádár utca – Csermák lépcsõ ,47.0896,17.90479,
